category,logo,color_svg,color_png,black_svg,black_png,white_svg,white_png,origin,source_raster,note,source_url
community,greater-twin-cities-united-way,greater-twin-cities-united-way.svg,greater-twin-cities-united-way.png,greater-twin-cities-united-way-black.svg,greater-twin-cities-united-way-black.png,greater-twin-cities-united-way-white.svg,greater-twin-cities-united-way-white.png,traced,_raster-originals/community/greater-twin-cities-united-way.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/GreaterTwinCities.png
community,head-of-the-lakes-united-way,head-of-the-lakes-united-way.svg,head-of-the-lakes-united-way.png,head-of-the-lakes-united-way-black.svg,head-of-the-lakes-united-way-black.png,head-of-the-lakes-united-way-white.svg,head-of-the-lakes-united-way-white.png,traced,_raster-originals/community/head-of-the-lakes-united-way.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/Head-of-the-Lakes.png
community,heroes-on-the-hill,heroes-on-the-hill.svg,heroes-on-the-hill.png,heroes-on-the-hill-black.svg,heroes-on-the-hill-black.png,heroes-on-the-hill-white.svg,heroes-on-the-hill-white.png,traced,_raster-originals/community/heroes-on-the-hill.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/Heroes-on-the-hill-blk.png
community,hope-chest,hope-chest.svg,hope-chest.png,hope-chest-black.svg,hope-chest-black.png,hope-chest-white.svg,hope-chest-white.png,traced,_raster-originals/community/hope-chest.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/hope-chest.png
community,lels,lels.svg,lels.png,lels-black.svg,lels-black.png,lels-white.svg,lels-white.png,traced,_raster-originals/community/lels.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/lels-copy.png
community,lutheran-social-service-mn,lutheran-social-service-mn.svg,lutheran-social-service-mn.png,lutheran-social-service-mn-black.svg,lutheran-social-service-mn-black.png,lutheran-social-service-mn-white.svg,lutheran-social-service-mn-white.png,traced,_raster-originals/community/lutheran-social-service-mn.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/Logo_of_Lutheran_Social_Service_of_Minnesota.png
community,movember,movember.svg,movember.png,movember-black.svg,movember-black.png,movember-white.svg,movember-white.png,traced,_raster-originals/community/movember.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/movember.png
community,outfront-minnesota,outfront-minnesota.svg,outfront-minnesota.png,outfront-minnesota-black.svg,outfront-minnesota-black.png,outfront-minnesota-white.svg,outfront-minnesota-white.png,traced,_raster-originals/community/outfront-minnesota.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/OutFront_Primary-Logo-Full-Dark-Color.png
community,pavsa,pavsa.svg,pavsa.png,pavsa-black.svg,pavsa-black.png,pavsa-white.svg,pavsa-white.png,traced,_raster-originals/community/pavsa.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/PAVSA.png
community,science-from-scientists,science-from-scientists.svg,science-from-scientists.png,science-from-scientists-black.svg,science-from-scientists-black.png,science-from-scientists-white.svg,science-from-scientists-white.png,traced,_raster-originals/community/science-from-scientists.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/SciSci.png
